"weight";"lat";"lon"
"1001";"33.946";"-118.389"
"741";"33.946";"-118.408"
"592";"33.946";"-118.399"
"312";"33.936";"-118.419"
"289";"33.946";"-118.419"
"283";"33.936";"-118.429"
"268";"34.016";"-118.389"
"230";"34.006";"-118.449"
"218";"33.946";"-118.429"
"216";"33.946";"-118.378"
"202";"33.946";"-118.439"
"200";"33.936";"-118.439"
"195";"33.946";"-118.449"
"187";"33.936";"-118.449"
"183";"33.925";"-118.469"
"178";"33.946";"-118.458"
"173";"33.936";"-118.458"
"173";"34.006";"-118.458"
"165";"33.906";"-118.499"
"160";"33.916";"-118.488"
"156";"33.946";"-118.469"
"155";"33.946";"-118.219"
"155";"34.016";"-118.399"
"154";"33.955";"-118.189"
"147";"34.006";"-118.429"
"145";"34.016";"-118.378"
"144";"33.916";"-118.479"
"144";"34.006";"-118.439"
"140";"33.946";"-118.229"
"138";"34.016";"-118.408"
"130";"33.946";"-118.479"
"127";"34.006";"-118.488"
"124";"33.955";"-118.179"
"124";"34.006";"-118.469"
"119";"33.946";"-118.208"
"116";"33.896";"-118.509"
"113";"33.955";"-118.199"
"112";"33.946";"-118.488"
"106";"34.006";"-118.479"
"106";"33.946";"-118.238"
"101";"34.025";"-118.359"
"99";"34.006";"-118.499"
"98";"33.946";"-118.499"
"96";"33.925";"-118.479"
"92";"33.885";"-118.529"
"91";"33.946";"-118.509"
"90";"34.025";"-118.369"
"88";"34.016";"-118.419"
"88";"33.896";"-118.518"
"85";"34.006";"-118.419"
"84";"33.946";"-118.518"
"82";"33.946";"-118.369"
"80";"34.025";"-118.348"
"77";"33.936";"-118.408"
"77";"34.025";"-118.429"
"76";"34.016";"-118.439"
"75";"33.946";"-118.529"
"75";"33.955";"-118.169"
"71";"34.025";"-118.339"
"71";"33.876";"-118.539"
"69";"33.955";"-118.389"
"68";"34.025";"-118.329"
"67";"33.646";"-118.289"
"67";"33.995";"-118.458"
"67";"33.885";"-118.518"
"65";"33.906";"-118.488"
"65";"33.946";"-118.539"
"65";"33.646";"-118.238"
"64";"33.936";"-118.399"
"63";"33.936";"-118.469"
"61";"33.936";"-118.389"
"59";"33.925";"-118.458"
"58";"33.866";"-118.548"
"58";"33.955";"-118.369"
"56";"33.906";"-118.509"
"55";"33.646";"-118.249"
"55";"34.016";"-118.369"
"55";"33.646";"-118.298"
"54";"33.646";"-118.229"
"53";"33.995";"-118.439"
"52";"33.936";"-118.598"
"50";"34.016";"-118.449"
"50";"34.025";"-118.319"
"50";"33.946";"-118.548"
"48";"34.196";"-118.419"
"48";"33.936";"-118.589"
"48";"33.936";"-118.479"
"47";"34.196";"-118.429"
"47";"33.936";"-118.609"
"46";"33.646";"-118.268"
"45";"33.995";"-118.449"
"45";"34.006";"-118.509"
"44";"34.196";"-118.439"
"44";"33.976";"-118.429"
"43";"33.646";"-118.309"
"42";"33.855";"-118.548"
"41";"33.896";"-118.499"
"41";"33.946";"-118.559"
"41";"33.646";"-118.279"
"41";"34.196";"-118.469"
"41";"34.036";"-118.419"
"40";"34.196";"-118.449"
"40";"33.946";"-118.279"
"39";"33.966";"-118.419"
"39";"33.925";"-118.449"
"38";"33.986";"-118.439"
"38";"33.946";"-118.569"
"38";"33.885";"-118.509"
"38";"34.196";"-118.458"
"37";"33.936";"-118.619"
"36";"33.906";"-118.479"
"36";"33.955";"-118.158"
"36";"33.925";"-118.719"
"35";"33.876";"-118.518"
"35";"33.936";"-118.499"
"35";"33.815";"-118.348"
"35";"33.936";"-118.488"
"35";"33.916";"-118.469"
"35";"33.925";"-118.439"
"35";"33.955";"-118.408"
"34";"33.946";"-118.579"
"34";"33.946";"-118.639"
"34";"33.936";"-118.628"
"33";"33.955";"-118.649"
"32";"33.925";"-118.488"
"31";"33.925";"-118.729"
